"","caseId","AFortas","AJGoldberg","AMKennedy","AScalia","BRWhite","CEWhittaker","CThomas","DHSouter","EKagan","EWarren","FFrankfurter","FMurphy","FMVinson","HABlackmun","HHBurton","HLBlack","JGRoberts","JHarlan2","JPStevens","LFPowell","NMGorsuch","PStewart","RBGinsburg","RHJackson","SAAlito","SDOConnor","SFReed","SGBreyer","SMinton","SSotomayor","TCClark","TMarshall","WBRutledge","WEBurger","WHRehnquist","WJBrennan","WODouglas"
"99","1946-099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"100","1946-100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"101","1946-101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"102","1946-102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"103","1946-103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"104","1946-104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"105","1946-105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"106","1946-106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"107","1946-107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"108","1946-108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"109","1946-109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"110","1946-110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,1
"111","1946-111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"112","1946-112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"113","1946-113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"114","1946-114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2
"115","1946-115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2
"116","1946-116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"117","1946-117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"118","1946-118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
